,mean,low,up
2020,0.012489481297338253,0.012168486636001206,0.0128104759586753
2021,0.011848798542863245,0.010986063094936403,0.012711533990790086
2022,0.011056428432796968,0.009492354914499197,0.01262050195109474
2023,0.01019418801366569,0.007862797445174853,0.012525578582156527
2024,0.009348050209411759,0.006274032776992787,0.012422067641830731
2025,0.008596807113621126,0.004878506328206544,0.01231510789903571
2026,0.008003237255707953,0.003786720987107948,0.012219753524307958
2027,0.007608310452924064,0.0030571379437587393,0.012159482962089388
2028,0.007428617562122887,0.0026937939876257562,0.012163441136620018
2029,0.007456873376722706,0.0026516847159077164,0.012262062037537696
2030,0.007665047854824306,0.0028498800728647723,0.01248021563678384
2031,0.00800946242761221,0.003191349068360139,0.01282757578686428
2032,0.00843706109420837,0.003585354871182481,0.013288767317234258
2033,0.00889203499363457,0.0039644019778193795,0.01381966800944976
2034,0.00932203763850431,0.004288779912351407,0.014355295364657215
2035,0.009683360363508392,0.004539808015785319,0.014826912711231465
2036,0.009944621791820485,0.004709601509540692,0.015179642074100278
2037,0.010088736018579438,0.0047939813091943066,0.015383490727964568
2038,0.010113136376959106,0.00479028620429306,0.015435986549625153
2039,0.010028422336337226,0.004698850596843819,0.015357994075830633
2040,0.00985574832132605,0.004526168776051967,0.015185327866600134
2041,0.009623373270174929,0.004287727619340662,0.014959018921009195
2042,0.009362833586525352,0.004008644484017304,0.0147170226890334
2043,0.009105191362475281,0.003721037968823412,0.01448934475612715
2044,0.008877751618420231,0.003458595654289795,0.014296907582550668
2045,0.00870154833775854,0.003250216541643403,0.014152880133873676
2046,0.008589783352244038,0.003114916658247642,0.014064650046240433
2047,0.008547279501456874,0.0030593943420038298,0.014035164660909918
2048,0.008570893880772316,0.003078506938243692,0.014063280823300939
2049,0.008650740035103263,0.0031580218400218997,0.014143458230184626
2050,0.008771997983932942,0.0032785402744252602,0.014265455693440624
2051,0.0089170524873096,0.003419420764348263,0.014414684210270938
2052,0.009067693611611468,0.003561802617354481,0.014573584605868455
2053,0.009207136539760586,0.0036903413788887647,0.014723931700632409
2054,0.009321663988641133,0.003793797474997274,0.014849530502284993
2055,0.00940175695118862,0.003864932646168999,0.014938581256208242
2056,0.009442649310595554,0.003900181109202118,0.014985117511988989
2057,0.00944431085632809,0.0038993673741990744,0.014989254338457103
2058,0.00941092405920833,0.003865501747240034,0.014956346371176626
2059,0.009349967015855758,0.0038045173319247883,0.014895416699786728
2060,0.009271044734049983,0.003724767391011328,0.014817322077088638
